Issuer Name,Industry,Debt to Equity,EBITDA Margin,Interest Coverage,Issue Size (₹Cr),DefaultFlag,Final Rating
Fine Non-Woven India Pvt. Ltd.,Other Textile Products,3.07,0.00,2.32,6.25,No,BB-
MR Proview Real Tech Pvt. Ltd.,"Residential, Commercial Projects",1.53,0.00,9.45,34,No,BB-
Slv Agro Foods,Other Agricultural Products,1.39,0.00,1.73,10,No,BB-
GG Automotive Gears Ltd.,Auto Components & Equipments,0.93,0.00,4.46,15.18,No,BB-
Vinayak Enterprises,Pharmaceuticals,1.46,0.00,0.98,8,No,BB-
Kantipudi Steels Pvt. Ltd.,Iron & Steel,5.55,0.00,1.36,37.6,No,BB-
Alliaance Biotech,Pharmaceuticals,0.82,0.00,2.65,8,No,BB-
Southfield Paints Ltd.,Paints,1.28,0.00,9.39,19.12,No,BB-
C.M.S. Impex (India) Pvt. Ltd.,Specialty Chemicals,1.01,0.00,1.28,8,No,BB-
Sri Sati Aranjyothi Raw & Boiled Rice Mill,Other Agricultural Products,0.38,0.00,2.48,5.45,No,BB-
Servel India Pvt. Ltd.,Cables - Electricals,3.84,0.00,1.37,30.51,No,BB-
VPS Silk Fabrics Pvt. Ltd.,Garments & Apparels,0.64,0.00,1.69,17.57,No,BB-
Jaycon Infrastructure Limited,Civil Construction,1.62,0.00,1.31,48,No,BB-
Shreyash Aluminium & Alloys Pvt. Ltd.,"Aluminium, Copper & Zinc Products",3.46,0.00,1.68,17,No,BB-
Omkar Nests Pvt. Ltd.,"Residential, Commercial Projects",2.82,0.00,1.16,60,No,BB-
Surya Shakti Greenlands Pvt. Ltd.,"Residential, Commercial Projects",6.82,0.00,1.63,18.5,No,BB-
Ekram Hotels Pvt. Ltd.,Hotels & Resorts,-6.54,0.00,-3022.10,24.2,No,BB-
Rai Saheb Rekhchand Mohota Spg. & Wvg. Mills Ltd.,Other Textile Products,3.12,0.00,1.42,89.82,No,BB-
JPN Pharma Pvt. Ltd.,Commodity Chemicals,1.44,0.00,4.45,6.11,No,BB-
Jhelum Infra Projects Pvt. Ltd.,Civil Construction,19.43,0.00,2.15,50,No,BB-
I D Sood Ispat Pvt. Ltd.,Iron & Steel,4.67,0.00,1.57,17.5,No,BB-
Sri Krishnadevaraya Hatcheries Pvt. Ltd.,Other Agricultural Products,1.40,0.00,0.54,18.44,No,BB-
Samarth Woollen Mills,Other Textile Products,2.52,0.00,2.01,18.64,No,BB-
Rachana Educational Society,Education,2.00,0.00,1.75,9.42,No,BB-
Mohan Rail Components Pvt. Ltd.,Industrial Products,4.18,0.00,1.13,25,No,BB-
International Tubes India Pvt. Ltd.,Auto Components & Equipments,2.73,0.00,1.05,11.54,No,BB-
C. Vadivelu,Civil Construction,1.19,0.00,2.07,15,No,BB-
Esjaypee Impex Pvt. Ltd.,Trading & Distributors,5.82,0.00,1.56,35,No,BB-
Sumit Enterprises,Auto Components & Equipments,2.10,0.00,2.04,6.15,No,BB-
JS Industries,Iron & Steel Products,3.79,0.00,1.52,10,No,BB-
Srini Food Park Pvt. Ltd.,Other Food Products,0.83,0.00,0.10,51.4,No,BB-
H. K. Ispat Pvt. Ltd.,Iron & Steel Products,-1990.38,0.00,-21.95,20.8,No,BB-
SMV Agencies Pvt. Ltd.,"Residential, Commercial Projects",5.93,0.00,1.60,90,No,BB-
Plaza Tex India Pvt. Ltd. (PTIPL),Other Textile Products,2.15,0.00,1.83,8.57,No,BB-
Sri Krishna Nutritions India Pvt. Ltd.,Animal Feed,1.99,0.00,2.15,12.6,No,BB-
SKP Steel Industries Pvt. Ltd.,Industrial Products,2.86,0.00,1.53,16.6,No,BB-
Vimta Labs Ltd.,"Healthcare Research, Analytics & Technology",0.10,0.00,7.81,15,No,BB-
RR Industrial Corporation (I) Pvt. Ltd.,Iron & Steel,0.36,0.00,0.97,11.4,No,BB-
Shree Abjibapa Education & Charitable Trust,Education,-953.99,0.00,0.93,6.23,No,BB-
R.S.Ch.Pratap Singh Charitable Trust Society,Education,0.45,0.00,8.92,6.08,No,BB-
Annamalaiar Mills Pvt. Ltd.,Other Textile Products,1.56,0.00,3.16,8,No,BB-
Shubhdeep Shikshan Sansthan,Education,0.48,0.00,3.95,5.95,No,BB-
Star Hi-Herbs Pvt. Ltd.,Pharmaceuticals,1.28,0.00,16.21,30,No,BB-
Aryabhatta Academic Society,Education,0.88,0.00,3.15,5.47,No,BB-
Anunay Fab Ltd.,Other Textile Products,3.19,0.00,1.00,85.2,No,BB-
Sri Siddalingeshwara Rice Industries,Other Agricultural Products,1.60,0.00,1.46,5,No,BB-
Garg steels,Iron & Steel Products,3.80,0.00,1.14,9,No,BB-
PRL Projects & Infrastructure Limited,Civil Construction,0.65,0.00,2.54,72,No,BB-
Coastal Aqua,Other Food Products,2.66,0.00,1.39,15.72,No,BB-
Disposafe Health & Life Care Ltd.,Medical Equipment & Supplies,4.02,0.00,-0.47,40,No,BB-
Joginder Pal Doda,Breweries & Distilleries,6.23,0.00,35.73,9,No,BB-
M N S Metal & Profiles Pvt. Ltd.,Iron & Steel Products,1.45,0.00,2.06,15,No,BB-
Crescent Tanners Pvt. Ltd.,Leather And Leather Products,1.51,0.00,2.08,9.7,No,BB-
Shree Mahesh Oil Products,Edible Oil,2.36,0.00,1.83,9,No,BB-
Shinago International India Pvt. Ltd.,Forest Products,0.17,0.00,1.61,20,No,BB-
Bhavesh Polymer Pvt. Ltd,Other Textile Products,2.01,0.00,2.18,9.59,No,BB-
Amrapali Dream Valley Pvt. Ltd.,"Residential, Commercial Projects",-27.25,0.00,0.58,300,No,BB-
Anil Neerukonda Educational Society,Education,3.12,0.00,5.47,60,No,BB-
The Nimar Educational Society,Education,1.05,0.00,54.81,6.5,No,BB-
Meher Advanced Materials Pvt. Ltd.,Diversified Metals,1.21,0.00,2.21,14.72,No,BB-
M.B.Kallur,Civil Construction,0.42,0.00,5.02,10,No,BB-
Devnandan Infrastructure Pvt. Ltd.,"Residential, Commercial Projects",14.86,0.00,1.10,52,No,BB-
A. N. Enterprise,Trading & Distributors,4.09,0.00,0.96,6.5,No,BB-
Eesha Packaging ,Packaging,2.46,0.00,1.67,25.1,No,BB-
Shankar Trading Company Pvt. Ltd.,Other Agricultural Products,0.86,0.00,3.02,6.15,No,BB-
Royal Embroidery Threads Pvt. Ltd.,Other Textile Products,8.17,0.00,1.63,17.42,No,BB-
Mongia Steel Limited,Iron & Steel Products,1.17,0.00,0.33,36.57,No,BB-
Santpuria Alloys Pvt. Ltd.,Sponge Iron,0.92,0.00,1.44,25.5,No,BB-
Naturefresh Industries Limited,Edible Oil,8.29,0.00,3.58,11.27,No,BB-
Salasar Ginning & Pressing,Other Textile Products,2.34,0.00,1.46,8.3,No,BB-
Khare & Tarkunde Infrastructure Pvt. Ltd.,Civil Construction,2.46,0.00,1.60,152.41,No,BB-
Simtrad Overseas Pvt. Ltd.,Specialty Chemicals,0.48,0.00,1.27,18,No,BB-
Hemant Jewels Pvt. Ltd.,"Gems, Jewellery And Watches",1.35,0.00,1.45,15,No,BB-
Diamond Jewels Corporation,"Gems, Jewellery And Watches",1.97,0.00,2.06,12,No,BB-
Aanandam Jewellers,"Gems, Jewellery And Watches",10.45,0.00,3.72,10,No,BB-
Taurus Thermoplastics Pvt. Ltd.,Packaged Foods,1.41,0.00,1.57,6.5,No,BB-
Mansarovar Pearls (India) Private Limited,"Gems, Jewellery And Watches",2.11,0.00,1.40,15,No,BB-
Raghuram Hume Pipes Pvt. Ltd.,Water Supply & Management,2.01,0.00,2.27,18,No,BB-
Atam Manohar Ship Breakers Pvt. Ltd.,Ship Building & Allied Services,0.80,0.00,3.89,93,No,BB-
Sri Vasudeva Textiles Pvt. Ltd.,Other Textile Products,2.19,0.00,2.03,44.68,No,BB-
Chemosyn Limited,Pharmaceuticals,0.58,0.00,1.26,15.28,No,BB-
Globe Textile India Pvt. Ltd.,Other Textile Products,1.78,0.00,3.27,36.33,No,BB-
Kansal Engineering,Iron & Steel Products,5.74,0.00,2.01,18.5,No,BB-
Precision Electronic Instrument Co.,Industrial Products,1.12,0.00,2.29,8,No,BB-
Viswateja Constructions,Civil Construction,1.83,0.00,3.21,9,No,BB-
Ranjitha Cottons,Other Textile Products,2.46,0.00,1.56,10,No,BB-
Himalaya Polytech Pvt. Ltd.,Household Appliances,2.24,0.00,1.60,17.07,No,BB-
Vinayak Rathi Steel Rolling Mills Pvt. Ltd.,Iron & Steel,1.87,0.00,0.34,32.65,No,BB-
G P Designs Pvt. Ltd.,Other Textile Products,2.65,0.00,1.65,4,No,BB-
Bharani Commodities Pvt. Ltd.,Iron & Steel Products,12.19,0.00,787.89,10,No,BB-
Autobat Accumulator Pvt. Ltd.,Auto Components & Equipments,1.40,0.00,-6.19,5.5,No,BB-
Pioneer Steels,Iron & Steel Products,1.89,0.00,-0.35,25,No,BB-
MKC Traders Pvt. Ltd.,Distributors,2.87,0.00,1.25,8.5,No,BB-
AnilKumar And Company,Other Textile Products,0.86,0.00,1.35,14.5,No,BB-
Rami Reddy Agro Industry,Other Agricultural Products,0.95,0.00,1.51,11.45,No,BB-
S.R.T. Promoters & Developers,"Residential, Commercial Projects",0.85,0.00,1.77,8,No,BB-
Janvi Gems,"Gems, Jewellery And Watches",1.44,0.00,1.90,9.5,No,BB-
Yuno Packaging Pvt. Ltd.,Packaging,1.84,0.00,2.65,10.95,No,BB-
Voltech Manufacturing Company Ltd.,Heavy Electrical Equipment,1.76,0.00,1.31,21.63,No,BB-
SKF Boilers & Driers Pvt. Ltd.,Industrial Products,3.30,0.00,1.42,8.4,No,BB-
Bhakra Service Station Pvt. Ltd.,Auto Dealer,2.19,0.00,1.84,10.05,No,BB-
Hill-Brow Metallics and Construction Pvt. Ltd.,Civil Construction,0.65,0.00,18.72,23,No,BB-
Mecords India Limited,Trading - Textile Products,62.97,0.00,2.14,49.98,No,BB-
R.H. Solvex Pvt. Ltd.,Other Agricultural Products,13.38,0.00,1.33,18.65,No,BB-
Jagdish Prasad Agarwal,Civil Construction,1.04,0.00,5.07,8.5,No,BB-
Jawahar Saw Mills Pvt. Ltd.,Forest Products,8.37,0.00,1.62,59,No,BB-
Universal Industrial Equipment and Technical Services Pvt. Ltd.,Construction Vehicles,3.79,0.00,1.28,30,No,BB-
Jhaveri Flexo India Ltd.,Plastic Products - Industrial,1.11,0.00,2.28,84.9,No,BB-
Vinayak Coal Traders Pvt. Ltd.,Coal,2.14,0.00,1.26,19,No,BB-
Bakshi Security & Personnel Services Pvt. Ltd.,Diversified Commercial Services,2.40,0.00,2.32,6,No,BB-
Micon Engineers (Hubli) Pvt. Ltd.,Industrial Products,2.19,0.00,1.72,8,No,BB-
Bhagyanagar Hatcheries Pvt Ltd (Enhancement),Other Agricultural Products,1.20,0.00,2.34,9.04,No,BB-
P R S Rice Mill,Other Agricultural Products,2.99,0.00,1.34,13.28,No,BB-
NRI Educational Society,Education,-5.98,0.00,-1.04,11.25,No,BB-
Shree Naman Securities and Finance Pvt. Ltd.,Other Financial Services,2.22,0.00,-1.31,15.65,No,BB-
Lalani Suitings Pvt. Ltd.,Other Textile Products,3.69,0.00,0.35,10,No,BB-
Anjana Adorables,Garments & Apparels,1.52,0.00,3.03,7.64,No,BB-
Vijay Mahiendra Spinntex Pvt. Ltd.,Garments & Apparels,2.59,0.00,1.70,27,No,BB-
Bhagyalaxmi Gems & Jewellers Pvt. Ltd.,"Gems, Jewellery And Watches",0.03,0.00,2.29,10,No,BB-
Maruti Enterprise,Other Agricultural Products,3.08,0.00,1.47,15,No,BB-
N.S.N Reddy & Co.,Civil Construction,0.84,0.00,3.73,7,No,BB-
Tanna Commercials Pvt. Ltd.,Other Agricultural Products,8.13,0.00,1.74,13.33,No,BB-
United Electricals and Transformers,Heavy Electrical Equipment,1.26,0.00,1.15,7.5,No,BB-
Santoshi Barrier Film India Pvt. Ltd.,Packaging,2.69,0.00,2.01,18.1,No,BB-
Maa Saraswati Steel Re-Rolling Mills Pvt. Ltd.,Iron & Steel Products,4.92,0.00,1.37,24.5,No,BB-
Bhavani Saw Mill,Forest Products,6.37,0.00,1.34,35,No,BB-
Maruthi Saw Mill,Forest Products,3.64,0.00,1.33,35,No,BB-
Pooja Castings Pvt. Ltd.,"Aluminium, Copper & Zinc Products",1.71,0.00,2.32,19.12,No,BB-
Gajlaxmi Steel Pvt. Ltd.,Iron & Steel Products,5.42,0.00,0.80,7.68,No,BB-
Jayavelu Spinning Mills Pvt. Ltd.,Other Textile Products,1.38,0.00,2.89,33.59,No,BB-
Astam Healthcare Pvt. Ltd.,Pharmaceuticals,1.30,0.00,2.53,10,No,BB-
Astam Healthcare Pvt Ltd,Pharmaceuticals,1.30,0.00,2.53,10,No,BB-
CM Associates Pvt. Ltd.,Household Products,2.71,0.00,1.10,9,No,BB-
MKC Traders Pvt. Ltd.,Distributors,2.33,0.00,1.21,8.5,No,BB-
SSV Ginners Pvt. Ltd.,Other Textile Products,2.69,0.00,1.67,13.37,No,BB-
Kansal Engineering,Iron & Steel Products,4.36,0.00,2.69,18.5,No,BB-
Intermed (Mumbai),Pharmaceuticals,1.48,0.00,1.88,9.92,No,BB-
D. Vansh Enterprises,Breweries & Distilleries,2.47,0.00,2.53,7.9,No,BB-
Joginder Pal Doda,Breweries & Distilleries,4.81,0.00,3.28,9,No,BB-
Sri Krishnadevaraya Hatcheries Pvt. Ltd.,Other Agricultural Products,0.73,0.00,2.64,18.44,No,BB-
Autobat Accumulator Pvt. Ltd.,Auto Components & Equipments,1.37,0.00,2.64,5.5,No,BB-
RR Industrial Corporation (I) Pvt. Ltd.,Iron & Steel,0.17,0.00,1.88,11.4,No,BB-
Slv Agro Foods,Other Agricultural Products,1.62,0.00,1.97,10,No,BB-
Pawan Cotton Industries,Garments & Apparels,3.41,0.00,1.92,6.5,No,BB-
Maharaja,Coal,1.16,0.00,1.58,12.6,No,BB-
K P Garments Pvt. Ltd.,Garments & Apparels,2.97,0.00,1.48,35,No,BB-
Srikar Laboratories Pvt. Ltd.,Pharmaceuticals,1.65,0.00,2.83,16.75,No,BB-
Magnificent Media Vision Pvt. Ltd.,Media & Entertainment,1.47,0.00,4.63,10,No,BB-
Simtrad Overseas Pvt. Ltd.,Specialty Chemicals,1.16,0.00,1.04,18,No,BB-
Perfectpac Ltd.,Packaging,1.43,0.00,1.48,17.85,No,BB-
Coastal Aqua,Other Food Products,2.21,0.00,1.78,15.72,No,BB-
Pooja Castings Pvt Ltd,"Aluminium, Copper & Zinc Products",1.55,0.00,2.15,19.12,No,BB-
Tanna Commercials Pvt Ltd,Other Agricultural Products,15.37,0.00,3.32,13.33,No,BB-
Lalitha Cotton Traders,Other Textile Products,5.86,0.00,1.26,7,No,BB-
Crescent Tanners Pvt. Ltd.,Leather And Leather Products,1.27,0.00,4.60,9.7,No,BB-
Simran Fisheries Pvt Ltd.,Other Food Products,1.39,0.00,5.87,8.93,No,BB-
Pooja Castings Pvt. Ltd.,"Aluminium, Copper & Zinc Products",1.41,0.00,2.26,19.12,No,BB-
Shreyash Aluminium & Alloys Pvt. Ltd.,"Aluminium, Copper & Zinc Products",2.45,0.00,2.16,17,No,BB-
PET Metal Pvt. Ltd.,Aluminium,1.78,0.00,1.96,14.98,No,BB-
Pawan Cotton Industries,Garments & Apparels,2.66,0.00,2.09,6.5,No,BB-
Salasar Ginning & Pressing,Other Textile Products,3.36,0.00,1.44,8.3,No,BB-
Precision Electronic Instrument Co.,Industrial Products,1.52,0.00,1.45,8,No,BB-
Ranjitha Cottons,Other Textile Products,1.90,0.00,1.47,10,No,BB-
Sri Vasudeva Textiles Pvt. Ltd.,Other Textile Products,1.84,0.00,1.94,44.68,No,BB-
Sri Vasudeva Textiles Pvt. Ltd.,Other Textile Products,1.39,0.00,3.07,44.68,No,BB-
Indo Rubber and Plastic Works,Leisure Products,0.73,0.00,1.72,8,No,BB
Sham Jewellers,"Gems, Jewellery And Watches",43.07,0.00,0.26,10,No,BB
Secunderabad Hotels Pvt. Ltd.,Hotels & Resorts,2.37,0.00,2.06,47.12,No,BB
Eco Cane Sugar Energy Limited,Sugar,9.84,0.00,1.58,50,No,BB
Aakash Oil Field Services Pvt. Ltd.,Gas Transmission/Marketing,2.19,0.00,3.15,8,No,BB
Gopinath Gems,"Gems, Jewellery And Watches",1.30,0.00,5.03,6,No,BB
Wada Steel Mould (India) Pvt. Ltd.,Iron & Steel,0.43,0.00,5.20,6.85,No,BB
Cogent E Services Pvt. Ltd.,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),0.83,0.00,10.50,14.14,No,BB
Sri City Projects Pvt. Ltd.,"Residential, Commercial Projects",1.16,0.00,7.34,35,No,BB
Jumbo Distributors Pvt. Ltd.,Consumer Electronics,2.29,0.00,-7.48,13,No,BB
Sree Ramakrishna Alloys Ltd.,Iron & Steel,1.78,0.00,1.19,40,No,BB
Vensar Construction Co. Ltd.,Civil Construction,1.76,0.00,1.12,169,No,BB
Gupta Fabtex Pvt. Ltd.,Garments & Apparels,4.55,0.00,1.39,20,No,BB
Insucon Cables and Conductors Pvt. Ltd.,Cables - Electricals,1.04,0.00,1.68,6.38,No,BB
Sysco Industries Pvt. Ltd.,Packaging,2.12,0.00,1.96,31.76,No,BB
Chaudhry Steels Pvt. Ltd.,Iron & Steel Products,1.39,0.00,2.16,13,No,BB
Ascan Plyboard (India) Pvt. Ltd (erstwhile Prakash Ply Exim Pvt. Ltd.),Plywood Boards/ Laminates,0.63,0.00,2.10,20,No,BB
Shakambari Overseas Trade Pvt. Ltd.,Iron & Steel Products,0.80,0.00,1.79,24.2,No,BB
ASC Builders Pvt. Ltd.,Civil Construction,1.11,0.00,4.83,17.5,No,BB
Pasad Impex Pvt. Ltd.,Iron & Steel,0.40,0.00,1.47,30,No,BB
Vulcan Forge Pvt. Ltd.,Auto Components & Equipments,4.74,0.00,1.75,12,No,BB
Dimension Steel & Alloys Pvt. Ltd.,Iron & Steel,2.14,0.00,1.58,65.3,No,BB
Polylon Fabrics Pvt. Ltd.,Garments & Apparels,5.87,0.00,2.33,40,No,BB
Jupiter Technologies Pvt. Ltd.,IT Enabled Services,1.94,0.00,2.49,13,No,BB
BIR Hotels Pvt. Ltd.(Grand Continental Hotel),Hotels & Resorts,0.74,0.00,2.88,12,No,BB
Eagle Maritime Inc.,Ship Building & Allied Services,2.05,0.00,0.97,3.3,No,BB
Weavers India,Garments & Apparels,4.14,0.00,2.09,16.3,No,BB
S. V. Milk & Milk Products Pvt. Ltd.,Dairy Products,43.50,0.00,1.82,25,No,BB
Versatile Card Technology Pvt. Ltd.,Computers Hardware & Equipments,0.50,0.00,2.07,16.2,No,BB
CMI Limited,Cables - Electricals,2.52,0.00,1.62,34,No,BB
Aegan Batteries Limited,Auto Components & Equipments,2.33,0.00,1.80,69.39,No,BB
Ptraans Logistics (India) Pvt. Ltd.,Logistics Solution Provider,2.61,0.00,1.24,20.7,No,BB
Polycon International Ltd,Plastic Products - Industrial,3.38,0.00,1.72,12.2,No,BB
Sparkline Equipment Pvt. Ltd.,Heavy Electrical Equipment,0.46,0.00,2.53,11.4,No,BB
Spine Arthroscopic and Joint Replacement Centre Pvt. Ltd.,Healthcare Service Provider,2.28,0.00,1.86,11.81,No,BB
Baheti Metal and Ferro Alloys Ltd.,Aluminium,1.60,0.00,1.24,13.62,No,BB
BTM Corp Limited,Other Textile Products,1.21,0.00,1.62,15,No,BB
H Bheda & Co,Other Agricultural Products,1.73,0.00,2.82,8.79,No,BB
Jindal Aluminium Foils Pvt. Ltd.,Aluminium,2.68,0.00,2.52,29.93,No,BB
Chiranjilal Rayons Pvt. Ltd.,Commodity Chemicals,0.96,0.00,2.27,8.6,No,BB
Sarawgi Builders & Promoters Pvt. Ltd.,"Residential, Commercial Projects",1.27,0.00,9.57,30,No,BB
CM Auto Sales Pvt. Ltd.,Auto Dealer,3.96,0.00,0.30,396.64,No,BB
M. M. Industries,"Aluminium, Copper & Zinc Products",1.91,0.00,2.21,20,No,BB
Bhaskar Tea Industries Ltd.,Tea & Coffee,1.01,0.00,1.40,5.47,No,BB
RNP Marketing & Cargo Pvt. Ltd.,Logistics Solution Provider,2.44,0.00,2.39,15,No,BB
Unigreen Global Pvt. Ltd.,Other Agricultural Products,1.68,0.00,1.80,80,No,BB
Jharkhand Grind Chem Pvt. Ltd.,Commodity Chemicals,0.22,0.00,7.07,10.36,No,BB
Ideal Industrial Explosives Limited,Explosives,37.60,0.00,0.28,39.5,No,BB
Sri Mahalaxmi Cotton Seed Oil Industries,Edible Oil,0.85,0.00,2.05,10,No,BB
Alpine Knits India Pvt. Ltd.,Other Textile Products,1.95,0.00,1.56,35.59,No,BB
Knowledge Institute of Technology Trust,Education,1.33,0.00,1.77,20.85,No,BB
Satyam Caterers Pvt. Ltd.,Other Food Products,2.33,0.00,1.96,83.5,No,BB
NRP Projects Pvt. Ltd.,Civil Construction,2.09,0.00,1.20,70,No,BB
Mahajan Overseas Pvt. Ltd.,Other Textile Products,1.87,0.00,1.49,25.35,No,BB
CAI Industries Pvt. Ltd.,Auto Dealer,4.16,0.00,1.11,30.53,No,BB
Ranka Steels,Iron & Steel Products,1.09,0.00,1.67,10,No,BB
Sri Jalaram Plastics,Other Textile Products,2.12,0.00,2.29,10.79,No,BB
Rao Constructions,Civil Construction,0.02,0.00,17.61,30,No,BB
Laxmi Vinayak Rice Mill Pvt. Ltd.,Other Agricultural Products,2.69,0.00,2.15,7.82,No,BB
Siddhivinayak Sugars Ltd.,Sugar,11.10,0.00,0.01,74,No,BB
Astik Dyestuff Pvt. Ltd.,Specialty Chemicals,1.38,0.00,1.78,9,No,BB
Ami Tech (India) Pvt. Ltd.,IT Enabled Services,2.62,0.00,2.81,12,No,BB
Sadhu Singh Hamdard Trust,Diversified,0.82,0.00,2.11,25,No,BB
Ragavs Diagnostic & Research Centre Pvt. Ltd.,Healthcare Service Provider,0.91,0.00,7.96,24.5,No,BB
SBL Energy Limited,Explosives,3.01,0.00,1.70,20.95,No,BB
Shalimar Agarbatti Company,Diversified consumer products,0.23,0.00,1.40,12,No,BB
Anubhuti Cold Chains Pvt. Ltd.,Food Storage Facilities,0.96,0.00,7.93,7.43,No,BB
Anubhuti Logistics Pvt. Ltd.,Food Storage Facilities,1.12,0.00,5.82,7.43,No,BB
Amrapali Eden Park Developers Pvt. Ltd.,"Residential, Commercial Projects",2.65,0.00,0.79,45,No,BB
Premier Fabrics International Pvt. Ltd.,Trading & Distributors,4.16,0.00,1.03,10,No,BB
Padmawati Commodities Pvt. Ltd.,Coal,2.98,0.00,1.38,9.5,No,BB
Maniranjan Diesel Sales & Services Pvt. Ltd.,Auto Components & Equipments,1.89,0.00,2.95,10.25,No,BB
Magnum Spinning Mills India Pvt. Ltd.,Other Textile Products,2.47,0.00,1.10,33.94,No,BB
Thalappakatti Hotels Pvt. Ltd.,Hotels & Resorts,0.38,0.00,10.18,5,No,BB
A.L.Overseas,Other Agricultural Products,2.35,0.00,1.04,15,No,BB
Dassan Fashions Private Limited.,Garments & Apparels,2.06,0.00,1.87,12,No,BB
Davanam Jewellerrs Pvt. Ltd.,"Gems, Jewellery And Watches",1.57,0.00,1.25,78.46,No,BB
Universal Import Export India Pvt Ltd,Diversified FMCG,17.92,0.00,1.09,83.99,No,BB
Shivalaya Construction Co. Pvt. Ltd.,Civil Construction,1.14,0.00,2.66,90,No,BB
Valrack Modular Systems Pvt. Ltd.,Iron & Steel,1.80,0.00,1.33,25.47,No,BB
Damara Gold Pvt. Ltd.,"Gems, Jewellery And Watches",11.62,0.00,3.66,64.58,No,BB
Srinivasa Transports,Shipping,4.22,0.00,3.05,7.5,No,BB
JKG Constructions Pvt. Ltd.,"Residential, Commercial Projects",2.40,0.00,1.23,60,No,BB
Shri Bhaskaracharya Pratishthan,Education,0.51,0.00,5.32,13.65,No,BB
Shri Saravana Industries Pvt. Ltd.,Heavy Electrical Equipment,0.94,0.00,1.62,26.97,No,BB
Veerabhadreswara Raw & Boiled Rice Mill,Other Agricultural Products,0.95,0.00,1.75,18,No,BB
Wool Spuns Ltd (WSL),Garments & Apparels,3.28,0.00,10.35,10.5,No,BB
Archee Group Contracts Pvt. Ltd.,Civil Construction,2.40,0.00,3.65,9.95,No,BB
Prathista Industries Limited,Biotechnology,0.33,0.00,10.99,24.69,No,BB
B.D Steels Pvt. Ltd.,Iron & Steel Products,4.38,0.00,1.23,15,No,BB
Ratnadeep Metal and Tubes Ltd,Industrial Products,1.81,0.00,1.72,76.91,No,BB
Jyoti Rocks & Exports Pvt. Ltd.,Granites & Marbles,2.31,0.00,3.22,15,No,BB
Savoir Faire Manufacturing Co. Pvt. Ltd.,Plastic Products - Industrial,21.09,0.00,1.01,15,No,BB
J. K. Jewels,"Gems, Jewellery And Watches",3.68,0.00,1.96,10.91,No,BB
Sarthak Developers,"Residential, Commercial Projects",0.68,0.00,1.04,40,No,BB
Premprakash Tubes Ltd.,Industrial Products,3.98,0.00,1.13,44.4,No,BB
Udayam Medical Centre (Trichy) Pvt. Ltd.,"Residential, Commercial Projects",6.14,0.00,4.94,5.48,No,BB
Premier Agri Foods Pvt. Ltd.,Dairy Products,2.53,0.00,1.43,18.4,No,BB
Print Point India Pvt. Ltd.,Packaging,0.71,0.00,3.81,14.75,No,BB
Enviro Infra Engineers Pvt. Ltd.,Civil Construction,0.80,0.00,2.57,35,No,BB
Sidhi Vinayak Metcom Ltd.,Sponge Iron,0.35,0.00,-0.95,9,No,BB
Zion Steel Ltd.,Iron & Steel Products,0.45,0.00,2.31,26.5,No,BB
Jaipuria Infrastructure Developers Pvt. Ltd.,"Residential, Commercial Projects",4.52,0.00,0.58,30,No,BB
Mark Alloys Pvt. Ltd.,Diversified Metals,5.27,0.00,1.72,32.9,No,BB
Anmol Steel Processors Pvt. Ltd.(Erstwhile: Anmol Steel & Infra Pvt Ltd),Iron & Steel Products,1.88,0.00,0.64,40,No,BB
Indra Industries Limited,Fertilizers,3.17,0.00,1.38,18,No,BB
Seth Carbon and Alloys Pvt. Ltd.,Iron & Steel Products,0.95,0.00,1.54,10,No,BB
Akrati Technimont Limited,Civil Construction,2.82,0.00,2.30,17.12,No,BB
Bhavani Steel Pvt. Ltd.,Iron & Steel Products,9.03,0.00,2.14,6.68,No,BB
Viva Servitrade Pvt. Ltd.,Consumer Electronics,1.26,0.00,826.66,25,No,BB
Jai Prakash Educational Trust Society,Education,1.09,0.00,2.60,37.94,No,BB
Suneja Sons,Trading & Distributors,0.96,0.00,1.20,15,No,BB
Hariom Industries Ltd.,Paper & Paper Products,1.71,0.00,1.52,22.02,No,BB
NSSL Pvt Limited (erstwhile NSSL Limited),Auto Components & Equipments,1.14,0.00,1.47,227,No,BB
Rukmani Motors Pvt. Ltd.,Auto Components & Equipments,0.94,0.00,2.49,12,No,BB
V K Packwell Pvt. Ltd.,Packaging,3.84,0.00,2.22,17.95,No,BB
Reddy Veeranna Constructions Pvt. Ltd.,Civil Construction,2.31,0.00,1.48,90,No,BB
SMS Waluj CETP Pvt. Ltd.,Waste Management,1.21,0.00,5.08,1,No,BB
Sri Lakshmi Constructions & Exports Pvt. Ltd. (erstwhile Sri Lakshmi Constructions),Civil Construction,1.85,0.00,1.59,35,No,BB
M K K Metal Sections Pvt. Ltd.,Iron & Steel Products,4.36,0.00,1.50,35,No,BB
Rajhans Enterprise,Print Media,1.72,0.00,3.29,11.7,No,BB
Rukmani Power and Steel Limited,Power - Transmission,27.95,0.00,0.32,8,No,BB
Seasons Textiles Ltd.,Other Textile Products,0.78,0.00,2.03,20.97,No,BB
Sri Chamundeswari Sugars Ltd.,Sugar,2.98,0.00,1.86,40,No,BB
Shashvat Jewels Pvt. Ltd.,"Gems, Jewellery And Watches",22.73,0.00,3.20,12,No,BB
